,Name,ERA,K/9,BB/9,HR/9
71,이영준,4.72500135183373,7.200002059937113,4.050001158714626,1.1250003218651738
72,문동욱,4.500000476837209,4.500000476837209,8.500000900692505,1.0000001059638242
73,이인복,3.970589349014437,4.169118816465158,2.382353609408662,0.3970589349014436
74,황영국,10.241380994300348,7.913794404686633,6.517242450918404,1.3965519537682294
75,조영우,5.961039551676916,4.441558881641624,2.9220782116063315,1.4025975415710392
76,이승진,5.610390583205138,9.46753410915867,3.857143525953533,0.5259741171754817
77,이건욱,5.680327868852459,6.713114754098361,5.975409836065574,0.8114754098360656
78,박민호,2.423077456344632,6.230770602029053,3.288462262182,0.6923078446698947
79,배재환,3.9767448916315287,6.906977969675813,7.32558269511071,0.8372094508697955
80,홍성무,12.600000801086477,7.200000457763701,7.800000495910676,1.8000001144409252
81,김민수,6.0967744936432124,5.487097044278891,2.61290335441852,1.2193548987286424
82,주권,2.700000588553421,4.757143894117932,4.114286611129022,0.7714287395866917
83,이상규,6.677421409059773,5.22580805926417,6.096776069141533,1.1612906798364824
84,최원태,5.072727272727272,5.4818181818181815,3.027272727272728,1.309090909090909
85,김택형,8.608697793885387,8.608697793885387,7.82608890353217,1.9565222258830424
86,임규빈,4.539823775135104,4.778761868563267,2.389380934281633,2.628319027709797
87,홍정우,6.600000419616726,8.700000553131138,3.6000002288818505,1.5000000953674375
88,배제성,3.948113349630728,5.285377548699201,4.8396228156763765,0.76415097089627
89,이민우,6.79245331907836,5.688679654728126,3.990566324958537,0.9339623313732746
90,박정수,4.63636444028758,7.909092280490577,6.545455680405995,1.090909280067666
91,문경찬,5.019231505648027,7.615385732707351,2.596154227059324,1.9038464331768377
92,이준영,5.32394723754348,8.36620280185404,4.943665292004661,0.38028194553882
93,김민우,4.341708875624221,8.412060946521928,4.884422485077248,1.0175880177244268
94,김범수,5.236364362732539,9.000001248446551,6.8727282260864575,1.4727274770185266
95,구창모,1.735714238419826,9.835714017712348,1.735714238419826,0.6749999816077101
96,김대현,5.845361744259194,7.793815659012259,6.40206286276007,1.670103355502627
97,이영하,4.568182346249476,5.795455215391126,4.500000520186051,0.6136364345708252
98,전상현,2.4545457819352827,12.083917695681391,4.153846707890478,0.755244855980087
99,남재현,4.021277003722191,4.595745147111075,6.319149577277729,0.5744681433888844
100,김주한,7.434783225248853,4.30434818303881,3.913043802762554,1.369565330966894
101,최성영,6.082417837391018,4.005494673403842,5.192307909967942,1.9285715094166644
102,고우석,4.104000626220799,11.01600168090846,4.104000626220799,0.4320000659179788
103,김명신,3.521739860563664,6.456523077700051,2.347826573709109,1.760869930281832
104,최원준,3.804878284787948,6.878049207116675,2.5609757686072725,1.097561043688831
105,박치국,2.888372503005272,8.28837326949339,4.269768047920837,0.6279070658707113
106,최지광,4.872181429332934,9.135340179999252,6.293234346221706,0.4060151191110778
107,장지훈,10.08433827635416,7.807229633306447,6.831325929143141,2.277108643047713
108,강동호,7.363637002046499,6.545455112930221,4.909091334697666,2.454545667348833
109,이승호,5.081460783057498,5.5365169725850345,3.0337079301835805,1.1376404738188428
110,박진태,13.017858916399671,6.750000919614645,7.714286765273879,4.339286305466557
111,박상원,4.655173026140545,8.068966578643613,3.103448684093697,1.2413794736374788
112,이원준,7.448277086763889,7.913794404686633,7.448277086763889,1.3965519537682294
113,소이현,6.567568244683368,5.837838439718549,10.216217269507462,0.7297298049648187
114,김민,6.5390634743963885,6.750001005828531,6.117188411532106,1.2656251885928496
115,김민규,4.893750466704413,9.112500869035804,3.712500354051624,0.5062500482797668
116,안우진,3.0000006357830125,10.250002172258624,4.2500009006926005,0.7500001589457531
117,김윤수,4.655173332314327,6.36207022082958,4.810345776724804,0.9310346664628654
118,최채흥,3.5753424657534247,7.582191780821918,3.143835616438356,0.7397260273972602
119,이승헌,4.663636687097493,8.345455124279724,2.7000001872669697,0.2454545624788154
120,김진욱,5.641791847825669,5.843284413819443,5.037314149844348,1.813433093943965
121,김영규,5.453202175392271,7.31527121089207,1.8620690354997995,1.5960591732855425
122,손동현,5.311476240232537,5.311476240232537,4.42623020019378,2.21311510009689
123,정우영,3.120000952148728,7.080002160645191,3.4800010620120427,0.3600001098633147
124,조영건,5.278196094277299,4.669173468014535,5.481203636364888,1.6240603367007076
125,원태인,4.885714285714286,5.014285714285714,3.6,1.2214285714285715
126,김현수,7.237114540511383,5.288660625758319,8.628867336763573,0.8350516777513135
127,서준원,5.182663028366328,5.01548035003193,2.591331514183164,1.3374614266751814
128,김기훈,5.365385008986914,6.750000495177085,5.365385008986914,1.3846154861901714
129,양승철,7.848838950054912,4.081396254028554,7.534885392052715,1.255814232008786
130,김이환,6.819587897058384,5.7061857914162,6.123711581032019,1.2525773688474584
131,백승건,7.977273073078202,8.590909463314986,9.511364048670163,2.1477273658287466
132,송명기,3.695817597706656,7.391635195413312,4.003802397515544,1.231939199235552
133,배민서,7.425000708103248,6.075000579357202,4.725000450611158,2.70000025749209
134,고효준,5.744682832669363,6.319151115936299,6.319151115936299,1.7234048498008088
135,노경은,4.87218045112782,5.2105263157894735,2.706766917293233,1.2857142857142858
136,안영명,5.912409582264696,6.700730859899989,3.5474457493588174,1.7737228746794087
137,송은범,4.500000919614707,4.500000919614707,3.0535720525956944,0.6428572742306725
138,오주원,5.400001498136069,6.381819952342627,0.0,2.9454553626196742
139,윤성환,5.785714482774546,1.9285714942581824,5.303571609210001,0.0
140,정우람,4.803681431278292,8.779141926129293,1.9877302474255003,0.6625767491418334
141,신재웅,9.310347276976296,5.120691002336963,6.517243093883407,2.327586819244074
142,전유수,5.124088732662615,5.321169068534254,4.13868705330442,0.591241007614917
143,이보근,2.507143403656748,5.2071439922101685,2.121429033863402,0.3857143697933458
144,김진성,2.661972331565704,10.647889326262815,1.9014088082612173,0.760563523304487
