Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId
"Oh-joon Kwon 권오준","Lions (KBO)",40,0,2,8.43750201165724,17,0,0,0,0,0,1,16,72,22,18,15,3,3,0,0,0,0,10,"kr3013509"
"Min-ho Lee 이민호","Twins (KBO)",18,4,4,3.6860069219180924,20,16,0,0,0,0,0,97.2,434,94,46,40,5,44,1,10,4,1,67,"kr3014273"
"Yun-sik Kim 김윤식","Twins (KBO)",20,2,4,6.251231762035041,23,11,0,0,0,0,1,67.2,308,87,50,47,7,24,0,6,2,1,38,"kr3014275"
"Aaron Brooks 브룩스","Tigers (KBO)",30,11,4,2.4977974407783354,23,23,1,1,0,0,0,151.1,586,131,43,42,4,24,0,3,3,1,130,"kr3014280"
"Ji-seon Chae 채지선","Bears (KBO)",24,1,0,4.909092611518378,37,0,0,0,0,0,2,33,158,34,18,18,3,24,1,5,11,0,34,"kr3014286"
"Joo-on Kim 김주온","Wyverns (KBO)",23,0,3,7.548388025639198,29,0,0,0,0,1,0,31,160,46,27,26,5,22,0,5,5,0,18,"kr3014287"
"Hyun-jun Kim 김현준","Tigers (KBO)",23,1,0,12.558143155649342,15,0,0,0,0,0,1,14.1,76,20,20,20,2,13,1,1,0,0,12,"kr3014288"
"Jae-woong Kim 김재웅","Heroes (KBO)",21,2,4,4.675978151883829,43,7,0,0,0,1,3,59.2,258,64,36,31,7,23,1,2,4,0,51,"kr3014289"
"Hyeong Jun So 소형준","Wiz (KBO)",18,13,6,3.857142857142857,26,24,0,0,0,0,0,133,572,141,63,57,6,45,0,6,2,0,92,"kr3014303"
"Yun Dong Heo 허윤동","Lions (KBO)",19,2,1,4.8,11,11,0,0,0,0,0,45,204,43,26,24,4,31,0,2,0,1,18,"kr3014316"
"Dae-kyung Yun 윤대경","Eagles (KBO)",26,5,0,1.588235650508129,55,0,0,0,0,0,8,51,225,48,16,9,3,25,3,3,1,0,42,"kr3014324"
"Jae Min Kang 강재민","Eagles (KBO)",23,1,2,2.571429171993296,50,0,0,0,1,2,15,49,203,41,16,14,3,18,1,0,2,1,57,"kr3014332"
"Byeong-uk Jo 조병욱","Wiz (KBO)",22,0,1,7.623529753899507,9,4,0,0,0,0,0,28.1,131,39,24,24,4,13,0,1,0,0,11,"kr3014333"
"Seung Min Lee 이승민","Lions (KBO)",19,1,3,6.835443368039837,7,5,0,0,0,0,0,26.1,128,34,21,20,5,19,1,0,0,0,16,"kr3014336"
"Jin-ho Kim 김진호","Dinos (KBO)",22,0,1,8.709677687296642,3,3,0,0,0,0,0,10.1,54,14,10,10,5,8,0,1,1,0,7,"kr3014341"
"Hai Young Jung 정해영","Tigers (KBO)",18,5,4,3.2869576120650623,47,0,0,0,1,3,12,38.1,172,41,15,14,2,24,2,2,7,0,32,"kr3014352"
"Duk-won Seo 서덕원","Tigers (KBO)",26,0,0,9.257144118328656,10,0,0,0,0,0,0,11.2,56,14,12,12,5,4,0,3,1,0,6,"kr3014354"
"Jun Yong Choi 최준용","Giants (KBO)",18,0,2,4.853933624510524,31,0,0,0,0,0,9,29.2,130,31,16,16,3,11,4,2,3,0,26,"kr3014362"
"Jung Yong Yi 이정용","Twins (KBO)",24,3,0,3.7058831845189677,34,0,0,0,0,1,3,34,147,32,15,14,6,14,0,2,0,1,33,"kr3014366"
"Min-hyeok Shin 신민혁","Dinos (KBO)",21,2,3,5.7857148112083445,17,7,0,0,0,0,0,42,196,57,27,27,10,13,0,3,0,0,26,"kr3014368"
"Hwi Kwon 권휘","Bears (KBO)",19,0,1,5.268293663265631,14,0,0,0,0,0,0,13.2,63,16,8,8,1,6,0,2,2,0,10,"kr3014376"
"Jae-yeol Kim 김재열","Tigers (KBO)",24,0,1,6.872728464426294,14,0,0,0,0,0,2,18.1,92,23,16,14,3,12,1,3,0,0,13,"kr3014394"
"Ho Nam 남호","Twins (KBO)",19,0,0,3.9272729996610467,6,3,0,0,0,0,0,18.1,82,13,9,8,1,12,0,1,0,0,14,"kr3014395"
"Changmin Sim 심창민","Lions (KBO)",27,2,2,7.524592752003913,23,0,0,0,0,1,3,20.1,98,18,20,17,3,18,0,2,3,0,21,"sa3011907"
"Kih-Yun Yang 양기현","Heroes (KBO)",21,0,1,3.8571436979334583,24,0,0,0,0,0,0,23.1,99,24,10,10,3,10,1,1,2,0,12,"sa3011929"
"Seongmin Kim 김성민","Heroes (KBO)",26,1,0,6.4647904690998965,25,0,0,0,0,0,0,23.2,112,28,19,17,3,12,2,3,1,0,21,"sa3011930"
"Joo-Hong Park 박주홍","Eagles (KBO)",20,0,5,8.391892757095414,11,5,0,0,0,0,0,24.2,117,30,24,23,5,16,0,0,2,0,19,"sa3011931"
"Kyumin Woo 우규민","Lions (KBO)",35,3,3,6.187500983476795,52,0,0,0,7,2,13,48,210,61,34,33,3,9,1,1,0,0,30,"sa3012000"
"Jong-hyun Won 원종현","Dinos (KBO)",32,3,5,4.263158750666317,58,0,0,0,30,6,0,57,245,56,30,27,4,20,1,2,3,0,41,"sa3012035"
"Hyun-seung Lee 이현승","Bears (KBO)",36,2,1,5.3149627053122686,62,0,0,0,2,3,11,42.1,195,48,27,25,2,21,0,2,3,1,42,"sa3012039"
"Woo-chan Cha 차우찬","Twins (KBO)",33,5,5,5.34375,13,13,0,0,0,0,0,64,287,71,39,38,8,28,1,2,1,0,51,"sa3012041"
"Hee-soo Park 박희수","Wyverns (KBO)",36,0,1,5.472973960433592,28,0,0,0,0,0,0,24.2,112,28,16,15,4,10,1,0,2,0,26,"sa3012045"
"Yongchan Lee 이용찬","Bears (KBO)",31,1,3,8.437500201165681,5,5,0,0,0,0,0,26.2,125,41,25,25,7,6,0,0,1,0,15,"sa3012046"
"Si Hwan Chang 장시환","Eagles (KBO)",32,4,14,5.020100887440505,26,26,0,0,0,0,0,132.2,603,139,81,74,15,74,0,8,10,0,115,"sa3012048"
"Sang-Hwa Lee 이상화","Wiz (KBO)",32,1,1,5.400001029968458,18,0,0,0,0,0,1,15,65,11,9,9,2,10,2,0,1,0,7,"sa3012051"
"Jun Ho Ha 하준호","Wiz (KBO)",31,0,3,6.0480009228517035,42,1,0,0,0,1,5,41.2,189,38,30,28,1,27,1,2,2,0,26,"sa3012062"
"Myung-Ho Jin 진명호","Giants (KBO)",31,0,1,7.180852229479888,37,0,0,0,0,2,2,31.1,146,29,25,25,3,22,0,2,1,0,32,"sa3012066"
"Young-Il Jung 정영일","Wyverns (KBO)",31,2,2,6.557144286486879,29,0,0,0,2,1,3,23.1,114,31,20,17,6,11,1,3,3,1,17,"sa356979"
"Dae-eun Rhee 이대은","Wiz (KBO)",31,0,4,5.829546465361589,20,4,0,0,1,2,0,29.1,142,36,23,19,4,13,3,5,8,0,15,"sa447648"
"Jae-Hoon Ha 하재훈","Wyverns (KBO)",29,1,1,7.6153857327073515,15,0,0,0,4,6,0,13,66,19,13,11,2,8,0,0,1,0,10,"sa502535"
"Su-Min Jung 정수민","Wyverns (KBO)",30,1,0,1.1489362168387642,3,3,0,0,0,0,0,15.2,61,11,2,2,0,5,0,0,0,0,11,"sa502997"
"Jae Yun Kim 김재윤","Wiz (KBO)",29,5,3,3.2637368109963907,56,0,0,0,21,7,1,60.2,256,62,23,22,7,15,3,0,0,0,58,"sa503670"
"Seon Gi Kim 김선기","Heroes (KBO)",28,0,0,2.0454552547993243,25,0,0,0,0,0,1,22,92,17,8,5,1,8,0,4,4,0,11,"sa549629"
"Jin-Young Kim 김진영","Eagles (KBO)",28,3,3,3.3333338042836798,58,0,0,0,0,1,9,54,231,48,26,20,6,22,0,3,5,0,56,"sa598556"
"Seung Song 송승준","Giants (KBO)",40,2,2,6.202703821824738,22,1,0,0,0,0,1,24.2,119,30,17,17,2,14,2,3,2,0,25,"sa75573"
"Jeong-Hyeon Yoon 윤정현","Heroes (KBO)",27,0,1,8.890244936390031,15,4,0,0,0,0,0,27.1,146,54,32,27,3,10,0,2,1,0,11,"sa843255"
