Name,Team,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,PlayerId
"Seong-woon Jo 조성운","Heroes (KBO)",30,45,5.800000983344351,3.8000006442600918,1.52631579,1.2000002034505552,0.14427861,0.09452736,0.04975125,0.26666667,1.4888891413182817,0.28965517,0.64356436,5.400000915527499,5.360251622847622,0.03974929267987637,"kr3012373"
"Jin-hyung Park 박진형","Giants (KBO)",26,42.2,10.546878457536192,2.74218839895941,3.84615385,1.476562984055067,0.25773196,0.06701031,0.19072165,0.31638418,1.6171880301555495,0.40833333,0.7278481,5.695314367069543,4.500182188395517,1.1951321786740268,"kr3012378"
"Seung-min Koo 구승민","Giants (KBO)",30,60.1,8.651935525111314,3.8784538560843824,2.23076923,1.193370417256733,0.24369748,0.1092437,0.13445378,0.18867925,1.0939228824853386,0.21917808,0.74817518,3.580111251770199,4.609729748177477,-1.029618496407278,"kr3012379"
"Young-chang Koh 고영창","Tigers (KBO)",31,58,3.568966221440984,2.6379315549781186,1.35294118,0.4655173332314327,0.08363636,0.06181818,0.02181818,0.34782609,1.8103451847889047,0.37444934,0.60491493,6.8275875540610125,4.53304844571638,2.2945391083446323,"kr3012388"
"Jun-pyo Park 박준표","Tigers (KBO)",28,51.2,7.664517638080747,1.3935486614692267,5.5,0.52258074805096,0.21463415,0.03902439,0.17560976,0.20812183,0.9483872834998904,0.25333333,0.73660714,1.56774224415288,3.0319358026819905,-1.4641935585291104,"kr3012391"
"Jong-soo Kim 김종수","Eagles (KBO)",26,50,7.740001771545816,4.680001071167237,1.65384615,1.0800002471924395,0.18859649,0.11403509,0.0745614,0.27135678,1.6000003662110214,0.32,0.65683646,5.9400013595584165,5.095807227325523,0.8441941322328939,"kr3012399"
"Jeong-bin Kim 김정빈","Wyverns (KBO)",26,47.1,7.985917638299871,8.556340326749863,0.93333333,0.9507044807499847,0.18584071,0.19911504,-0.01327433,0.21387283,1.732394831588861,0.25396825,0.72289157,5.133804196049917,6.473554139136535,-1.339749943086618,"kr3012402"
"Jung-wook Son 손정욱","Dinos (KBO)",29,12,3.750000894069885,3.750000894069885,1,0.750000178813977,0.0862069,0.0862069,0,0.30769231,1.750000417232613,0.32608696,0.67961165,5.250001251697839,5.265807282924752,-0.015806031226913042,"kr3012407"
"Hyun-sik Jang 장현식","- - -",25,41,5.707318135204433,4.829269191326828,1.18181818,1.7560978877552103,0.12560386,0.10628019,0.01932367,0.35164835,2.0975613659298347,0.37837838,0.47557841,10.756099562500664,6.613368417704802,4.142731144795862,"kr3012411"
"Jung-ho Lim 임정호","Dinos (KBO)",30,41,8.341468071245187,4.3902463532869405,1.9,0.658536952993041,0.21714286,0.11428571,0.10285715,0.21621622,1.2682933909495606,0.27102804,0.65693431,4.609758670951288,4.588978196495614,0.020780474455674103,"kr3012412"
"Sang-min Lee 이상민","Lions (KBO)",29,14,8.357144564998743,7.0714300165373984,1.18181818,2.57142909692269,0.1884058,0.15942029,0.02898551,0.29824561,2.0000004087176477,0.325,0.81196581,6.4285727423067245,7.944379199281216,-1.5158064569744916,"kr3012413"
"Jin-woo Park 박진우","Dinos (KBO)",30,43,4.6046527967773425,2.7209311980957023,1.69230769,0.4186047997070311,0.11340206,0.06701031,0.04639175,0.26857143,1.3953493323567705,0.29801325,0.58544304,5.23255999633789,4.42278393172404,0.8097760646138497,"kr3012417"
