Name,Team,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,PlayerId
"Geo Yeon Lee 이거연","Wyverns (KBO)",23,10,0.2,0.6,0.33333333,0.125,0.3,0.125,0.425,0,1.601190455357143,0.5,-0.0009985268698073924,0.43287884715012426,-0.8799279081542123,0.24183699488639832,32.97353897678366,"kr3014343"
"Jae-won Lee 이재원","Twins (KBO)",20,22,0.09090909,0.5,0.18181818,0.05,0.13636364,0.05,0.18636364,0,1.601190455357143,0.11111111,-0.0009985268698073924,-1.48261263742276,-4.370787499092301,0.10992590676654469,-51.33389453316271,"kr3014346"
"Jong Pyo Hong 홍종표","Tigers (KBO)",20,88,0.04545455,0.14772727,0.30769231,0.25,0.28235294,0.2875,0.56985294,0.0375,2.30008347272308,0.29411765,-0.9321988527080975,5.6163762969675,-5.936323149710661,0.26631073320613186,48.615272325659106,"kr3014355"
"Ju Hong Park 박주홍","Heroes (KBO)",19,25,0.04,0.4,0.1,0.25,0.28,0.33333333,0.61333333,0.08333333,1.5971914124998496,0.42857143,-0.4642687937594019,1.9123433590191135,-1.369673529241728,0.2814127516746521,58.2673223242454,"kr3014359"
"Jong Chan Lim 임종찬","Eagles (KBO)",18,119,0.07563025,0.31932773,0.23684211,0.23148148,0.29661017,0.30555556,0.60216573,0.07407408,0.8075123088100612,0.34782609,-0.472257008717861,9.419439613784085,-6.202960774337519,0.2845844762810206,60.29444502616958,"kr3014361"
"Gi-hun Jeong 정기훈","Eagles (KBO)",25,36,0.08333333,0.41666667,0.2,0.16129032,0.27777778,0.22580645,0.50358423,0.06451613,3.9580296089453135,0.3125,-0.4652673206292093,1.9255979677995967,-2.800506351296015,0.25399479932255214,40.74387355393965,"kr3014364"
"Daniel Palka 팔카","Lions (KBO)",28,217,0.08294931,0.26728111,0.31034483,0.20918367,0.2718894,0.36734694,0.63923634,0.15816327,2.6431972473665555,0.2481203,0.3853549452032894,17.963837074624596,-10.524069515479507,0.2889080866141253,63.05776459146607,"kr3014377"
"Seong Min Kim 김성민","Wyverns (KBO)",19,16,0.0625,0.1875,0.33333333,0.28571429,0.375,0.71428571,1.08928571,0.42857142,2.642857142857143,0.22222222,-0.0013313691597431898,3.661650051288506,1.5611592428015677,0.4629993811249733,174.32354554915327,"kr3014379"
"Hun Gon Kim 김헌곤","Lions (KBO)",31,283,0.07773852,0.10954064,0.70967742,0.2480315,0.31205674,0.31496063,0.62701737,0.06692913,3.3159407641792584,0.2690583,-0.9386517470120452,25.022197554727498,-12.130233620385226,0.29562405343596815,67.35009463253942,"sa3011906"
"Bon Ki Shin 신본기","Giants (KBO)",31,123,0.11382114,0.17886179,0.63636364,0.21698113,0.31147541,0.28301887,0.59449428,0.06603774,4.160859587720891,0.25301205,0.18835052283247933,10.05888657842985,-6.088636511813491,0.2877125686309377,62.29368134180054,"sa3011910"
"Woo-Hyun Song 송우현","Heroes (KBO)",23,15,0.13333333,0.26666667,0.5,0,0.2,0,0.2,0,2.642857142857143,0,-0.0009985268698073924,-0.4952425787495284,-2.4644527117060333,0.1508954644203186,-25.149300750651125,"sa3011923"
"Byeong-woo Jeon 전병우","Heroes (KBO)",27,401,0.09226933,0.24937656,0.37,0.23743017,0.31077694,0.3575419,0.66831884,0.12011173,5.7682680348992195,0.30555556,1.366715791868046,40.098177753097424,-12.54537313460647,0.3094228287986048,76.16921175897211,"sa3011926"
"Joo-Hyung Kim 김주형","Heroes (KBO)",24,50,0.08,0.2,0.4,0.23255814,0.32653061,0.37209302,0.69862363,0.13953488,3.629384878631564,0.28125,-0.46659868978895247,5.698901247942921,-0.8651325285787616,0.32608768648030806,86.82010851813135,"sa3011932"
"Taekyun Kim 김태균","Eagles (KBO)",38,254,0.11811024,0.16535433,0.71428571,0.21917808,0.31620553,0.29680365,0.61300918,0.07762557,0.504699267857143,0.25988701,-0.021301906555891037,21.14172061143022,-12.20357097329993,0.28944734382629395,63.40241637326594,"sa3011978"
"Yong Taik Park 박용택","Twins (KBO)",41,236,0.06355932,0.1440678,0.44117647,0.29953917,0.33898305,0.39631336,0.73529641,0.09677419,2.958921459150501,0.34054054,0.37936378398444504,28.357718272454257,-2.6245211527280885,0.33345534446391656,91.52894948389407,"sa3011983"
"Taek-Keun Lee 이택근","Heroes (KBO)",39,64,0.109375,0.328125,0.33333333,0.19298246,0.28125,0.28070175,0.56195175,0.08771929,1.253968267857143,0.30555556,-0.004326949769165367,4.233775716331381,-4.1681875176163725,0.26908804196864367,50.39031472102855,"sa3012005"
"Yongkyu Lee 이용규","Eagles (KBO)",34,487,0.1211499,0.07392197,1.63888889,0.28639618,0.3814433,0.33651551,0.71795881,0.05011933,4.766819658038924,0.31070496,-0.3567541125230491,63.414686121389046,-0.5190028619321515,0.3454393684249563,99.18821693197222,"sa3012015"
"Jaeho Kim 김재호","Bears (KBO)",35,458,0.09825328,0.09825328,1,0.28855721,0.36184211,0.34577114,0.70761325,0.05721393,3.6343283051500848,0.31666667,0.2261958789313212,55.15661804697383,-4.969931345964778,0.3337765117267986,91.73421492478253,"sa3012016"
"Sok Min Park 박석민","Dinos (KBO)",35,448,0.16741071,0.13839286,1.20967742,0.30617978,0.43595506,0.46629213,0.90224719,0.16011235,1.2795111084648907,0.33450704,-0.5168578755692579,84.57592439227199,25.7621817546377,0.4152455990524378,143.8029967134803,"sa3012020"
"Minho Kang 강민호","Lions (KBO)",34,393,0.07888041,0.13740458,0.57407407,0.28732394,0.34860051,0.48732394,0.83592445,0.2,0.998120330357143,0.29122807,-0.03394991357345134,59.648689994635816,8.055384511175399,0.3711386696456948,115.61323593379329,"sa3012023"
"Jeong Choi 최정","Wyverns (KBO)",33,553,0.13562387,0.17721519,0.76530612,0.2699115,0.39240506,0.53761062,0.93001568,0.26769912,3.2826426260361368,0.27217125,-0.24140133772743866,103.09009744536613,30.49188387703631,0.4124259185315906,142.00087354537615,"sa3012034"
"Euiji Yang 양의지","Dinos (KBO)",33,528,0.08712121,0.08901515,0.9787234,0.32754881,0.40037951,0.60303688,1.00341639,0.27548807,3.372487477696254,0.30490956,-0.17313844244927168,108.2706311386091,38.95443445854015,0.434639628804647,156.1981705925608,"sa3012037"
"Byung-hun Min 민병헌","Giants (KBO)",33,342,0.06140351,0.18128655,0.33870968,0.23300971,0.29080119,0.29126214,0.58206333,0.05825243,4.761685400522541,0.28340081,-0.3406487918109633,24.092918379117915,-20.805072652290395,0.27420622163585257,53.6614619622151,"sa3012038"
"Jaewon Oh 오재원","Bears (KBO)",35,174,0.09195402,0.2816092,0.32653061,0.23225806,0.30057803,0.38709677,0.6876748,0.15483871,6.8148946792734915,0.30097087,0.13660085125593469,17.77793436068018,-5.064903181615276,0.3120169450092867,77.82717154890597,"sa3012047"
"Ah-seop Son 손아섭","Giants (KBO)",32,611,0.09983633,0.09165303,1.08928571,0.35185185,0.4147541,0.49259259,0.90734669,0.14074074,3.530337452091652,0.37291667,0.9350957683636807,112.16080171248761,31.94830896339265,0.4090286374288817,139.82959245927827,"sa3012050"
"Taegun Kim 김태군","Dinos (KBO)",30,131,0.04580153,0.10687023,0.42857143,0.2920354,0.34677419,0.37168142,0.71845561,0.07964602,1.984962392857143,0.32323232,-0.011982322437688708,15.84169977009732,-1.3560687243894893,0.3343720801414982,92.1148565011547,"sa3012057"
"Geonchang Seo 서건창","Heroes (KBO)",30,595,0.15294118,0.09747899,1.56896552,0.2768595,0.38983051,0.38636364,0.77619415,0.10950414,5.794456197599627,0.29930394,0.11038137105060741,86.61365453572448,8.501652595116457,0.3637389852357032,110.88392613670383,"sa3012058"
"Junwoo Jeon 전준우","Giants (KBO)",34,628,0.08280255,0.12579618,0.65822785,0.27935943,0.3472,0.48220641,0.82940641,0.20284698,3.2588864038789573,0.28478261,-1.3649462938774377,95.24743092515125,12.80316669203891,0.37100762367248535,115.529481415272,"sa3012061"
"Kyoung-min Hur 허경민","Bears (KBO)",29,487,0.07186858,0.05749487,1.25,0.33180778,0.3822314,0.4416476,0.823879,0.10983982,4.768109365868374,0.33740831,0.17444620735477656,75.20300418575289,11.269315202431702,0.37428881691699206,117.62656806081,"sa3012064"
"Sang-soo Kim 김상수","Lions (KBO)",30,471,0.11677282,0.11677282,1,0.30445545,0.39658849,0.4009901,0.79757859,0.09653465,5.393945071684979,0.34104046,0.5592643587733619,72.25790096072453,10.424702785890277,0.3730884636314506,116.85939445735005,"sa3012065"
"Tae-Hyeok Nam 남태혁","Wyverns (KBO)",29,72,0.08333333,0.30555556,0.27272727,0.1969697,0.26388889,0.25757576,0.52146465,0.06060606,0.21230158035714297,0.27906977,-0.005658318928908557,3.6026862631731946,-5.8495223750180285,0.2498811673786905,38.11475604354207,"sa501191"
"Hak-Ju Lee 이학주","Lions (KBO)",29,243,0.10699588,0.23868313,0.44827586,0.22705314,0.3125,0.33816425,0.65066425,0.11111111,4.385955481092381,0.28666667,0.2551531581557356,22.73211197875327,-9.16909217514211,0.3017382968419765,71.25784929337067,"sa502536"
"Mel Rojas Jr. 로하스","Wiz (KBO)",30,628,0.10350318,0.21019108,0.49242424,0.34909091,0.41719745,0.68,1.09719745,0.33090909,2.2024875039867835,0.38258575,-0.5191877715988085,147.2575481250145,64.81328389190216,0.4697134571320364,178.61466712668047,"sa548194"
"Dong-Yub Kim 김동엽","Lions (KBO)",29,451,0.06430155,0.1751663,0.36708861,0.31234867,0.36,0.50363196,0.86363196,0.19128329,2.4709003744067406,0.3427673,-1.0913579189800657,73.55368417845435,14.346099514228774,0.3846211034721798,124.23017185312911,"sa598813"
"Roberto Ramos 라모스","Twins (KBO)",25,494,0.11133603,0.27530364,0.40441176,0.27842227,0.36234818,0.59164733,0.95399551,0.31322506,3.361214139128701,0.31417625,0.3610574580379762,91.13066667480493,26.2780129627707,0.4101081980518037,140.51956467263958,"sa829199"
"Ho-young Son 손호영","Twins (KBO)",25,62,0.03225806,0.19354839,0.16666667,0.36666667,0.38709677,0.43333333,0.8204301,0.06666666,7.5,0.45833333,1.9933431840036064,9.706267529956113,1.5668656470692262,0.3768295011212749,119.25037821714596,"sa830429"
